id,tokens
21894910,21474
21897026,13833
21898128,7886
21898650,42964
21906652,13571
21908637,12437
21914723,117127
21914792,15418
21914802,11061
21915588,7831
21924249,361336
21926202,15015
21930651,10545
21948846,10622
21949209,20050
21951660,177958
21958090,22669
21958314,9667
21959147,15828
21968652,14546
21970785,19555
21974953,70640
21978362,12574
21983966,9238
21987574,14765
21988939,16189
21992006,8195
21995300,27248
21996477,19055
21998098,27583
21998747,22059
22000657,12429
22000964,6363
22001019,19656
22002057,16068
22002222,18946
22005738,60395
22006920,18675
22010215,13694
22013074,14499
22016388,19603
22024570,12665
22032722,23007
22035791,15624
22038382,44774
22038794,20306
22039545,13447
22049910,48820
22052256,7938
22059588,4901
22069470,16907
22072709,17839
22075635,16170
22075667,24773
22076378,28910
22080342,13477
22081904,14045
22084064,133953
22089136,9974
22096528,16514
22098678,18774
22100277,7362
22100451,21233
22101784,13860
22110704,10789
22112903,15833
22120669,11153
22124943,15049
22124946,11112
22128181,14701
22138634,17550
22139731,8828
22141341,33206
22148590,13017
22151971,12177
22153510,39431
22155540,14441
22155550,12252
22158896,50693
22158897,15529
22161141,10877
22162664,16369
22166247,14324
22168819,16569
22170108,12012
22182589,14903
22184237,14853
22189865,12252
22197816,7061
22198595,7741
22203098,32195
22207056,50947
22208667,20729
22215681,14480
22229411,23365
22229759,20135
22231860,19714
22234330,14387
22238126,17175
22238141,24007
22238192,19715
22238597,22515
22249723,17896
22251001,12885
22261863,5465
22266267,9336
22266401,19918
22267661,32198
22274395,9592
22274606,10371
22277658,13566
22284438,15662
22285412,9907
22285967,14316
22286514,16082
22303022,15437
22307920,13978
22309255,12391
22309692,10406
22311971,23201
22313365,15114
22326164,8070
22326798,11701
22329777,18126
22334662,16012
22334758,12018
22344645,14309
22344652,14536
22348949,13844
22350292,9423
22356126,15193
22357344,19372
22363737,11162
22371504,12621
22374910,14734
22374998,15194
22384025,18351
22385435,15688
22387379,14889
22391227,10651
22402678,12067
22411095,20110
22415272,21493
22415274,97545
22418266,13608
22427434,11975
22433853,15192
22439800,18705
22443469,16489
22447612,8958
22448874,89414
22449746,8952
22451931,13124
22452347,21186
22461423,9072
22464989,11686
22465572,19133
22466806,13938
22479366,10759
22481018,12267
22484960,6240
22490700,15414
22496785,18506
22499274,23061
22505516,12969
22505717,31699
22514092,15348
22526566,10624
22526808,13899
22527040,18579
22532270,39728
22547063,18387
22551416,16092
22554821,8292
22555873,60898
22563120,24642
22564138,15696
22569263,9371
22574886,16829
22578594,52938
22579385,61509
22579392,8897
22579926,10062
22580055,9773
22583019,22993
22583967,15181
22584819,15025
22586153,9105
22595174,6273
22609920,19391
22615379,13221
22620855,29246
22627384,18138
22645124,21673
22645140,11521
22646210,18596
22648563,13053
22655081,22382
22659119,87731
22660767,43269
22683474,16494
22685275,17944
22686328,97007
22686449,11178
22694860,11455
22711283,68930
22711425,65805
22714267,7854
22726681,10486
22733592,64026
22742413,15735
22745722,40743
22747426,16142
22752357,11528
22752365,13001
22754298,15106
22760176,7440
22763951,12556
22767596,11489
22775324,15551
22782272,9045
22788848,13402
22789103,9686
22803763,11855
22805786,22003
22806043,10561
22806197,11675
22808532,14547
22809717,11139
22810229,16706
22811434,29026
22822057,16263
22822072,12599
22823427,20301
22834786,24872
22841742,11969
22848048,9570
22848751,23506
22851054,197919
22851136,21448
22852582,21022
22855027,77053
22857512,43293
22858542,19506
22862914,12042
22863564,14463
22865246,18130
22865846,15640
22866991,16137
22872183,17285
22873756,31310
22878843,7999
22879596,15657
22883556,15144
22891250,18137
22892871,16402
22896696,16266
22897232,14542
22897443,11197
22901898,7012
22902546,10418
22903977,14022
22904083,14528
22906002,20029
22906379,181702
22906720,20000
22908224,21975
22917022,20601
22923115,12033
22925190,58610
22925580,18922
22927435,46954
22931234,52588
22940176,11829
22942235,15339
22954034,23045
22957470,6095
22958207,7137
22960182,11480
22965231,16076
22967759,16123
22970650,22384
22982171,11462
22982531,194060
22982989,17836
22989181,14338
22992732,16019
22997138,16006
23003572,10866
23007392,16400
23012443,13829
23018273,18054
23019336,16443
23024156,15132
23028781,14049
23030530,20226
23031654,16824
23035846,12841
23042182,18824
23050701,122762
23050861,18109
23058847,11404
23059975,12193
23061549,37195
23063486,12412
23064348,14549
23069387,16750
23071108,85495
23071703,28287
23078533,10784
23084782,19767
23089953,10087
23090579,12351
23093406,18020
23095744,16229
23096088,14292
23099882,10063
23100543,14532
23104472,10158
23107800,16107
23111633,12922
23115238,133956
23118975,22941
23124747,7808
23126248,22240
23129050,12529
23142411,13105
23144135,7164
23144248,14271
23145064,19629
23148563,13817
23148601,20783
23150985,20305
23151026,24831
23157298,11803
23159774,12439
23161068,6012
23161452,9700
23161756,15970
23164087,95058
23165153,13347
23170977,16528
23174457,10735
23179721,18492
23196182,8527
23198993,9621
23199738,16522
23199739,8854
23201198,23476
23203077,20543
23207370,10461
23214473,18662
23215237,11564
23219598,15284
23223233,17238
23224332,11489
23225177,14707
23228473,11184
23228551,17372
23228595,17056
23229889,14022
23240582,20255
23241387,14674
23246866,16336
23248236,15162
23250228,10915
23258541,17751
23259842,14599
23264072,11272
23266119,11763
23268341,9278
23275159,13139
23282241,16491
23283574,12448
23284870,17750
23287728,12077
23295226,15062
23296200,25239
23296511,15764
23298222,22539
23300904,16217
23301871,16346
23305929,8583
23306149,11238
23311430,17347
